,date,close,high,low,open,symbol,volume,id,key,subkey,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
250,2020-03-09 00:00:00,135.69,140.82,132.8,135.95,IEX,929178,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:43,-0.31455849666599317,-0.31455849666599317,135.95,135.69,140.82,132.8,929178,134.3848,134.1278,139.1988,131.2711,929178,"Mar 9, 20",-8.759999999999991,-0.0606
249,2020-03-10 00:00:00,144.45,144.51,136.95,139.95,IEX,774838,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:35,-0.27030713275409185,-0.27030713275409185,139.95,144.45,144.51,136.95,774838,138.3388,142.787,142.8463,135.3733,774838,"Mar 10, 20",9.579999999999984,0.071
248,2020-03-11 00:00:00,134.87,140.74,133.97,140.34,IEX,520614,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:51,-0.318700747625783,-0.318700747625783,140.34,134.87,140.74,133.97,520614,138.7243,133.3173,139.1197,132.4276,520614,"Mar 11, 20",11.730000000000004,0.0953
247,2020-03-12 00:00:00,123.14,135.19,122.475,125.69,IEX,1103885,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:55,-0.3779551424530208,-0.3779551424530208,125.69,123.14,135.19,122.475,1103885,124.243,121.7223,133.6336,121.065,1103885,"Mar 12, 20",-7.709999999999994,-0.0589
246,2020-03-13 00:00:00,130.85,130.89,121.96,130.89,IEX,1185539,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:35,-0.3390078803798748,-0.3390078803798748,130.89,130.85,130.89,121.96,1185539,129.3831,129.3436,129.3831,120.5559,1185539,"Mar 13, 20",15.149999999999991,0.1309
245,2020-03-16 00:00:00,115.7,123.46,115.01,116.67,IEX,816011,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:53,-0.4155384926247727,-0.4155384926247727,116.67,115.7,123.46,115.01,816011,115.3268,114.368,122.0386,113.6859,816011,"Mar 16, 20",-10.259999999999991,-0.0815
244,2020-03-17 00:00:00,125.96,126.35,117.1588,118.33,IEX,959691,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:49,-0.3637098403717923,-0.3637098403717923,118.33,125.96,126.35,117.1588,959691,116.9677,124.5099,124.8954,115.81,959691,"Mar 17, 20",11.959999999999994,0.1049
243,2020-03-18 00:00:00,114.0,119.585,104.555,109.91,IEX,1052117,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:51,-0.42412608607799557,-0.42412608607799557,109.91,114.0,119.585,104.555,1052117,108.6446,112.6875,118.2082,103.3513,1052117,"Mar 18, 20",-9.36,-0.0759
242,2020-03-19 00:00:00,123.36,124.922,111.57,113.38,IEX,1286094,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:35,-0.37684380682966256,-0.37684380682966256,113.38,123.36,124.922,111.57,1286094,112.0747,121.9398,123.4838,110.2855,1286094,"Mar 19, 20",6.8799999999999955,0.0591
241,2020-03-20 00:00:00,116.48,125.41,114.8,125.41,IEX,1066603,HISTORICAL_PRICES,IEX,,2021-01-13 06:16:51,-0.4115983026874116,-0.4115983026874116,125.41,116.48,125.41,114.8,1066603,123.9662,115.139,123.9662,113.4783,1066603,"Mar 20, 20",1.8299999999999983,0.016
