index,symbol,messageType,seq,bidprice,bidsize,bidtimestamp,askprice,asksize,asktimestamp
0,IEX,book,1790,0.0,0.0,,0.0,0.0,
1,IEX,book,1791,0.0,0.0,,0.0,0.0,
2,IEX,book,1792,0.0,0.0,,0.0,0.0,
3,IEX,book,1793,0.0,0.0,,0.0,0.0,
4,IEX,book,1794,0.0,0.0,,197.46,100.0,2021-02-25 01:47:13
5,IEX,book,1795,0.0,0.0,,0.0,0.0,
6,IEX,book,1796,197.09,100.0,2021-02-25 01:47:20,0.0,0.0,
7,IEX,book,1797,197.27,100.0,2021-02-25 01:47:29,0.0,0.0,
9,IEX,book,1798,197.27,100.0,2021-02-25 01:47:29,0.0,0.0,
10,IEX,book,1799,0.0,0.0,,0.0,0.0,
11,IEX,book,1800,0.0,0.0,,197.51,100.0,2021-02-25 01:48:00
12,IEX,book,1801,0.0,0.0,,0.0,0.0,
13,IEX,book,1802,0.0,0.0,,0.0,0.0,
14,IEX,book,1803,0.0,0.0,,197.41,100.0,2021-02-25 01:48:38
15,IEX,book,1804,0.0,0.0,,197.41,100.0,2021-02-25 01:48:41
16,IEX,book,1805,0.0,0.0,,0.0,0.0,
18,IEX,book,1806,0.0,0.0,,0.0,0.0,
19,IEX,book,1807,197.06,100.0,2021-02-25 01:49:15,0.0,0.0,
20,IEX,book,1808,0.0,0.0,,0.0,0.0,
21,IEX,book,1809,0.0,0.0,,0.0,0.0,
23,IEX,book,1810,197.06,100.0,2021-02-25 01:49:59,0.0,0.0,
24,IEX,book,1811,0.0,0.0,,0.0,0.0,
26,IEX,book,1812,197.14,100.0,2021-02-25 01:50:57,0.0,0.0,
27,IEX,book,1813,0.0,0.0,,0.0,0.0,
28,IEX,book,1814,0.0,0.0,,197.41,100.0,2021-02-25 01:51:04
29,IEX,book,1815,0.0,0.0,,0.0,0.0,
30,IEX,book,1816,0.0,0.0,,197.41,100.0,2021-02-25 01:51:08
31,IEX,book,1817,0.0,0.0,,0.0,0.0,
32,IEX,book,1818,0.0,0.0,,0.0,0.0,
33,IEX,book,1819,0.0,0.0,,197.41,100.0,2021-02-25 01:51:28
34,IEX,book,1820,0.0,0.0,,0.0,0.0,
35,IEX,book,1821,197.14,100.0,2021-02-25 01:51:35,0.0,0.0,
36,IEX,book,1822,0.0,0.0,,0.0,0.0,
37,IEX,book,1823,197.14,100.0,2021-02-25 01:51:46,0.0,0.0,
38,IEX,book,1824,0.0,0.0,,0.0,0.0,
39,IEX,book,1825,197.14,100.0,2021-02-25 01:51:54,0.0,0.0,
41,IEX,book,1826,0.0,0.0,,0.0,0.0,
42,IEX,book,1827,0.0,0.0,,0.0,0.0,
44,IEX,book,1828,0.0,0.0,,0.0,0.0,
45,IEX,book,1829,0.0,0.0,,0.0,0.0,
46,IEX,book,1830,0.0,0.0,,197.35,100.0,2021-02-25 01:53:40
47,IEX,book,1831,0.0,0.0,,197.19,100.0,2021-02-25 01:53:52
49,IEX,book,1832,0.0,0.0,,197.17,100.0,2021-02-25 01:53:55
50,IEX,book,1833,0.0,0.0,,0.0,0.0,
51,IEX,book,1834,0.0,0.0,,197.19,100.0,2021-02-25 01:54:03
52,IEX,book,1835,0.0,0.0,,197.16,100.0,2021-02-25 01:54:20
53,IEX,book,1836,0.0,0.0,,0.0,0.0,
55,IEX,book,1837,0.0,0.0,,0.0,0.0,
56,IEX,book,1838,196.88,100.0,2021-02-25 01:55:25,0.0,0.0,
57,IEX,book,1839,0.0,0.0,,0.0,0.0,
58,IEX,book,1840,196.99,100.0,2021-02-25 01:55:31,0.0,0.0,
59,IEX,book,1841,197.09,100.0,2021-02-25 01:55:37,0.0,0.0,
60,IEX,book,1842,0.0,0.0,,0.0,0.0,
61,IEX,book,1843,197.01,100.0,2021-02-25 01:55:54,0.0,0.0,
63,IEX,book,1844,197.01,100.0,2021-02-25 01:55:54,0.0,0.0,
64,IEX,book,1845,197.01,100.0,2021-02-25 01:55:54,0.0,0.0,
65,IEX,book,1846,197.01,100.0,2021-02-25 01:55:54,0.0,0.0,
66,IEX,book,1847,197.01,100.0,2021-02-25 01:55:54,197.3,100.0,2021-02-25 01:56:17
67,IEX,book,1848,197.01,100.0,2021-02-25 01:55:54,0.0,0.0,
68,IEX,book,1849,197.01,100.0,2021-02-25 01:55:54,197.29,100.0,2021-02-25 01:56:29
69,IEX,book,1850,197.01,100.0,2021-02-25 01:55:54,197.29,100.0,2021-02-25 01:56:31
70,IEX,book,1851,196.93,100.0,2021-02-25 01:56:41,0.0,0.0,
71,IEX,book,1852,196.93,100.0,2021-02-25 01:56:41,197.25,100.0,2021-02-25 01:56:45
72,IEX,book,1853,0.0,0.0,,197.25,100.0,2021-02-25 01:56:45
73,IEX,book,1854,196.93,100.0,2021-02-25 01:56:52,197.25,100.0,2021-02-25 01:56:45
75,IEX,book,1855,196.87,100.0,2021-02-25 01:56:54,197.25,100.0,2021-02-25 01:56:45
76,IEX,book,1856,0.0,0.0,,197.25,100.0,2021-02-25 01:56:45
77,IEX,book,1857,0.0,0.0,,197.25,100.0,2021-02-25 01:57:08
78,IEX,book,1858,0.0,0.0,,197.25,100.0,2021-02-25 01:57:13
79,IEX,book,1859,0.0,0.0,,197.25,100.0,2021-02-25 01:57:15
80,IEX,book,1860,0.0,0.0,,197.25,100.0,2021-02-25 01:57:15
81,IEX,book,1861,0.0,0.0,,197.24,100.0,2021-02-25 01:57:22
82,IEX,book,1862,0.0,0.0,,197.24,100.0,2021-02-25 01:57:22
83,IEX,book,1863,196.77,100.0,2021-02-25 01:57:26,0.0,0.0,
84,IEX,book,1864,0.0,0.0,,197.25,100.0,2021-02-25 01:57:34
85,IEX,book,1865,0.0,0.0,,0.0,0.0,
86,IEX,book,1866,0.0,0.0,,0.0,0.0,
87,IEX,book,1867,0.0,0.0,,197.2,100.0,2021-02-25 01:57:46
88,IEX,book,1868,0.0,0.0,,197.2,100.0,2021-02-25 01:57:50
90,IEX,book,1869,0.0,0.0,,0.0,0.0,
91,IEX,book,1870,0.0,0.0,,197.17,100.0,2021-02-25 01:57:58
92,IEX,book,1871,0.0,0.0,,197.17,100.0,2021-02-25 01:58:00
93,IEX,book,1872,0.0,0.0,,0.0,0.0,
94,IEX,book,1873,196.91,100.0,2021-02-25 01:58:14,0.0,0.0,
95,IEX,book,1874,196.91,100.0,2021-02-25 01:58:17,0.0,0.0,
96,IEX,book,1875,0.0,0.0,,0.0,0.0,
97,IEX,book,1876,196.9,100.0,2021-02-25 01:58:44,0.0,0.0,
98,IEX,book,1877,196.96,100.0,2021-02-25 01:58:50,0.0,0.0,
99,IEX,book,1878,196.96,100.0,2021-02-25 01:58:50,0.0,0.0,
101,IEX,book,1879,0.0,0.0,,0.0,0.0,
102,IEX,book,1880,0.0,0.0,,0.0,0.0,
103,IEX,book,1881,196.96,100.0,2021-02-25 01:59:04,0.0,0.0,
104,IEX,book,1882,196.97,100.0,2021-02-25 01:59:06,0.0,0.0,
105,IEX,book,1883,196.97,100.0,2021-02-25 01:59:19,0.0,0.0,
106,IEX,book,1884,0.0,0.0,,0.0,0.0,
107,IEX,book,1885,196.98,100.0,2021-02-25 01:59:32,0.0,0.0,
108,IEX,book,1886,0.0,0.0,,0.0,0.0,
109,IEX,book,1887,196.98,100.0,2021-02-25 01:59:40,0.0,0.0,
110,IEX,book,1888,196.99,100.0,2021-02-25 01:59:53,0.0,0.0,
112,IEX,book,1889,196.99,100.0,2021-02-25 01:59:53,197.29,100.0,2021-02-25 01:59:56
