v,vw,o,c,h,l,t,n
300,28.45,28.45,28.45,28.45,28.45,2004-11-03 23:29:00,2
100,28.45,28.45,28.45,28.45,28.45,2004-11-03 23:25:00,1
200,28.45,28.45,28.45,28.45,28.45,2004-11-03 23:23:00,2
414,28.5,28.5,28.5,28.5,28.5,2004-11-03 23:07:00,1
100,28.5,28.5,28.5,28.5,28.5,2004-11-03 22:51:00,1
1183,28.5,28.5,28.5,28.5,28.5,2004-11-03 22:49:00,2
13170,28.4538,28.49,28.4466,28.49,28.4466,2004-11-03 22:45:00,3
1100,28.46,28.46,28.46,28.46,28.46,2004-11-03 22:43:00,2
300,28.46,28.46,28.46,28.46,28.46,2004-11-03 22:42:00,1
5620,28.5,28.5,28.5,28.5,28.5,2004-11-03 22:32:00,1
1525,28.4205,28.45,28.41,28.45,28.41,2004-11-03 22:22:00,3
42000,28.47,28.47,28.47,28.47,28.47,2004-11-03 22:20:00,1
200,28.46,28.46,28.46,28.46,28.46,2004-11-03 22:16:00,2
1400,28.46,28.46,28.46,28.46,28.46,2004-11-03 22:13:00,1
26052,28.5,28.5,28.5,28.5,28.5,2004-11-03 22:10:00,1
1000,28.46,28.46,28.46,28.46,28.46,2004-11-03 22:02:00,1
100,28.46,28.46,28.46,28.46,28.46,2004-11-03 21:53:00,1
100,28.47,28.47,28.47,28.47,28.47,2004-11-03 21:51:00,1
8000,28.48,28.48,28.48,28.48,28.48,2004-11-03 21:45:00,3
2000,28.49,28.49,28.49,28.49,28.49,2004-11-03 21:43:00,4
10094,28.5,28.5,28.5,28.5,28.5,2004-11-03 21:41:00,1
30000,28.5,28.5,28.5,28.5,28.5,2004-11-03 21:40:00,2
10000,28.5,28.5,28.5,28.5,28.5,2004-11-03 21:39:00,20
5000,28.5,28.5,28.5,28.5,28.5,2004-11-03 21:38:00,10
10000,28.5,28.5,28.5,28.5,28.5,2004-11-03 21:37:00,18
9300,28.5,28.5,28.5,28.5,28.5,2004-11-03 21:36:00,19
3966,28.5202,28.5,28.52,28.53,28.5,2004-11-03 21:30:00,9
2000,28.49,28.49,28.49,28.49,28.49,2004-11-03 21:29:00,3
4400,28.5018,28.5,28.53,28.53,28.49,2004-11-03 21:28:00,4
1400,28.5,28.5,28.5,28.5,28.5,2004-11-03 21:26:00,2
10000,28.5,28.5,28.5,28.5,28.5,2004-11-03 21:23:00,2
10900,28.5,28.5,28.5,28.5,28.5,2004-11-03 21:22:00,8
1500,28.5,28.5,28.5,28.5,28.5,2004-11-03 21:21:00,3
500,28.5,28.5,28.5,28.5,28.5,2004-11-03 21:19:00,1
1000,28.5,28.5,28.5,28.5,28.5,2004-11-03 21:18:00,1
9200,28.5054,28.5,28.5,28.51,28.5,2004-11-03 21:15:00,10
25000,28.35,28.35,28.35,28.35,28.35,2004-11-03 21:14:00,1
50900,28.5002,28.5,28.51,28.51,28.5,2004-11-03 21:13:00,4
1000,28.5,28.5,28.5,28.5,28.5,2004-11-03 21:11:00,1
243832,28.5,28.5,28.5,28.5,28.5,2004-11-03 21:10:00,10
18919,28.5029,28.51,28.5,28.51,28.5,2004-11-03 21:09:00,15
2960,28.52,28.52,28.52,28.52,28.52,2004-11-03 21:08:00,2
400,28.52,28.52,28.52,28.52,28.52,2004-11-03 21:07:00,1
16400,28.5296,28.53,28.53,28.53,28.52,2004-11-03 21:06:00,8
100,28.51,28.51,28.51,28.51,28.51,2004-11-03 21:05:00,1
36100,28.4929,28.5,28.5,28.5,28.49,2004-11-03 21:04:00,20
81900,28.4908,28.49,28.5,28.5,28.49,2004-11-03 21:03:00,12
2097330.0,28.4995,28.49,28.49,28.5,28.48,2004-11-03 21:02:00,84
83322,28.4556,28.47,28.48,28.49,28.37,2004-11-03 21:01:00,40
89200,28.4848,28.5,28.48,28.52,28.47,2004-11-03 21:00:00,86
1783287.0,28.4793,28.45,28.52,28.52,28.44,2004-11-03 20:59:00,1649
562211,28.4298,28.41,28.45,28.45,28.41,2004-11-03 20:58:00,718
229122,28.4075,28.41,28.42,28.42,28.4,2004-11-03 20:57:00,367
205969,28.3947,28.36,28.41,28.41,28.36,2004-11-03 20:56:00,351
320122,28.3807,28.38,28.37,28.41,28.36,2004-11-03 20:55:00,607
305459,28.3951,28.4,28.38,28.41,28.38,2004-11-03 20:54:00,574
198586,28.399,28.4,28.4,28.41,28.39,2004-11-03 20:53:00,360
382740,28.4306,28.44,28.41,28.45,28.4,2004-11-03 20:52:00,492
302651,28.4437,28.4301,28.44,28.46,28.4,2004-11-03 20:51:00,422
454734,28.4065,28.37,28.44,28.44,28.36,2004-11-03 20:50:00,670
145192,28.3604,28.36,28.37,28.38,28.35,2004-11-03 20:49:00,289
172673,28.3486,28.35,28.36,28.37,28.34,2004-11-03 20:48:00,328
60561,28.341,28.34,28.34,28.35,28.34,2004-11-03 20:47:00,133
115354,28.3509,28.36,28.35,28.36,28.34,2004-11-03 20:46:00,183
100574,28.3663,28.3714,28.36,28.38,28.36,2004-11-03 20:45:00,156
182426,28.3833,28.381,28.37,28.39,28.36,2004-11-03 20:44:00,201
212867,28.3685,28.36,28.39,28.39,28.35,2004-11-03 20:43:00,397
158824,28.3496,28.35,28.35,28.36,28.34,2004-11-03 20:42:00,298
314515,28.3422,28.34,28.3487,28.35,28.33,2004-11-03 20:41:00,399
163955,28.3346,28.33,28.34,28.36,28.32,2004-11-03 20:40:00,251
203964,28.3353,28.35,28.33,28.36,28.32,2004-11-03 20:39:00,311
